symbol,trade_no,side,entry_time,exit_time,entry_time_utc,exit_time_utc,entry_signal,exit_signal,entry_price,exit_price,size,notional,net_pnl,net_pnl_pct,favorable,favorable_pct,adverse,adverse_pct,cumulative_pnl,cumulative_pnl_pct
"BNB","85","Long","Apr 26, 2026, 22:15","Apr 26, 2026, 23:35","2026-04-26T13:15:00.000Z","2026-04-26T14:35:00.000Z","L2","Open","631.27 USDT","632.57 USDT","260.09","164.19 KUSDT","+338.117 USDT","+0.21%","553.992 USDT","0.34%","??1.614 USDT","??.03%","??,844.294 USDT","??.38%"
"BNB","84","Long","Apr 26, 2026, 22:00","Apr 26, 2026, 23:35","2026-04-26T13:00:00.000Z","2026-04-26T14:35:00.000Z","L1","Open","631.74 USDT","632.57 USDT","258.76","163.47 KUSDT","+214.771 USDT","+0.13%","429.542 USDT","0.26%","??73.369 USDT","??.11%","??,967.64 USDT","??.40%"
"BNB","83","Long","Apr 25, 2026, 20:30","Apr 25, 2026, 21:45","2026-04-25T11:30:00.000Z","2026-04-25T12:45:00.000Z","L2","HARD_SL","635.29 USDT","633.85 USDT","257.66","163.69 KUSDT","??71.03 USDT","??.23%","54.109 USDT","0.03%","??71.03 USDT","??.23%","??,182.411 USDT","??.42%"
"BNB","82","Long","Apr 25, 2026, 20:30","Apr 25, 2026, 21:45","2026-04-25T11:30:00.000Z","2026-04-25T12:45:00.000Z","L1","HARD_SL","635.38 USDT","633.85 USDT","258.79","164.43 KUSDT","??95.949 USDT","??.24%","31.055 USDT","0.02%","??95.949 USDT","??.24%","??,811.381 USDT","??.38%"
"BNB","81","Long","Apr 24, 2026, 04:45","Apr 24, 2026, 11:45","2026-04-23T19:45:00.000Z","2026-04-24T02:45:00.000Z","L2","Close position order","635.05 USDT","636.98 USDT","258.68","164.27 KUSDT","+499.252 USDT","+0.30%","1,456.368 USDT","0.89%","??2.43 USDT","??.04%","??,415.432 USDT","??.34%"
"BNB","80","Long","Apr 24, 2026, 04:30","Apr 24, 2026, 11:45","2026-04-23T19:30:00.000Z","2026-04-24T02:45:00.000Z","L1","Close position order","636.09 USDT","636.98 USDT","258.31","164.31 KUSDT","+229.896 USDT","+0.14%","1,185.643 USDT","0.72%","??40.969 USDT","??.21%","??,914.684 USDT","??.39%"
"BNB","79","Long","Apr 24, 2026, 02:30","Apr 24, 2026, 02:30","2026-04-23T17:30:00.000Z","2026-04-23T17:30:00.000Z","L2","Close position order","633.77 USDT","633.21 USDT","259.51","164.47 KUSDT","??45.326 USDT","??.09%","0 USDT","0.00%","??30.787 USDT","??.26%","??,144.58 USDT","??.41%"
"BNB","78","Long","Apr 23, 2026, 22:45","Apr 24, 2026, 02:30","2026-04-23T13:45:00.000Z","2026-04-23T17:30:00.000Z","L1","Close position order","634.52 USDT","633.21 USDT","259.08","164.39 KUSDT","??39.395 USDT","??.21%","1,601.114 USDT","0.97%","??24.383 USDT","??.38%","??,999.255 USDT","??.40%"
"BNB","77","Long","Apr 20, 2026, 15:00","Apr 20, 2026, 16:30","2026-04-20T06:00:00.000Z","2026-04-20T07:30:00.000Z","L1","Close position order","619.73 USDT","624.83 USDT","263.6","163.36 KUSDT","+1,344.36 USDT","+0.82%","2,672.904 USDT","1.64%","??10.712 USDT","??.07%","??,659.86 USDT","??.37%"
"BNB","76","Long","Apr 19, 2026, 07:00","Apr 19, 2026, 10:15","2026-04-18T22:00:00.000Z","2026-04-19T01:15:00.000Z","L2","HARD_SL","630.06 USDT","628.09 USDT","260.51","164.14 KUSDT","??13.205 USDT","??.31%","505.389 USDT","0.31%","??13.205 USDT","??.31%","??,004.22 USDT","??.50%"
