symbol,trade_no,side,entry_time,exit_time,entry_time_utc,exit_time_utc,entry_signal,exit_signal,entry_price,exit_price,size,notional,net_pnl,net_pnl_pct,favorable,favorable_pct,adverse,adverse_pct,cumulative_pnl,cumulative_pnl_pct
"BNB","28","Long","Apr 21, 2026, 00:00","Apr 21, 2026, 11:00","2026-04-20T15:00:00.000Z","2026-04-21T02:00:00.000Z","L1","Close position order","622.04 USDT","629.79 USDT","262.05","163.01 KUSDT","+2,030.888 USDT","+1.25%","2,869.448 USDT","1.76%","−230.604 USDT","−0.14%","−10,028.59 USDT","−1.00%"
"BNB","27","Long","Apr 20, 2026, 13:00","Apr 20, 2026, 14:00","2026-04-20T04:00:00.000Z","2026-04-20T05:00:00.000Z","L1","Close position order","622.04 USDT","619.29 USDT","262.24","163.12 KUSDT","−721.16 USDT","−0.44%","10.49 USDT","0.01%","−894.238 USDT","−0.55%","−12,059.477 USDT","−1.21%"
"BNB","26","Long","Apr 10, 2026, 00:45","Apr 10, 2026, 08:00","2026-04-09T15:45:00.000Z","2026-04-09T23:00:00.000Z","L1","Close position order","606.49 USDT","604.42 USDT","255.95","155.23 KUSDT","−529.816 USDT","−0.34%","1,576.652 USDT","1.02%","−757.612 USDT","−0.49%","−11,338.317 USDT","−1.13%"
"BNB","25","Long","Apr 08, 2026, 02:00","Apr 08, 2026, 16:30","2026-04-07T17:00:00.000Z","2026-04-08T07:30:00.000Z","L1","Close position order","601.62 USDT","613.00 USDT","255.3","153.59 KUSDT","+2,905.314 USDT","+1.89%","6,065.928 USDT","3.95%","−61.272 USDT","−0.04%","−10,808.501 USDT","−1.08%"
"BNB","24","Short","Apr 05, 2026, 17:30","Apr 06, 2026, 00:15","2026-04-05T08:30:00.000Z","2026-04-05T15:15:00.000Z","L2","Close position order","593.21 USDT","594.52 USDT","274.61","162.9 KUSDT","−359.739 USDT","−0.22%","1,631.183 USDT","1.00%","−639.841 USDT","−0.39%","−13,713.814 USDT","−1.37%"
"BNB","23","Short","Apr 05, 2026, 17:15","Apr 06, 2026, 00:15","2026-04-05T08:15:00.000Z","2026-04-05T15:15:00.000Z","L1","Close position order","592.26 USDT","594.52 USDT","275.04","162.9 KUSDT","−621.59 USDT","−0.38%","1,372.45 USDT","0.84%","−902.131 USDT","−0.55%","−13,354.075 USDT","−1.34%"
"BNB","22","Short","Apr 01, 2026, 00:15","Apr 01, 2026, 01:30","2026-03-31T15:15:00.000Z","2026-03-31T16:30:00.000Z","L2","Close position order","611.77 USDT","614.74 USDT","266.74","163.18 KUSDT","−792.218 USDT","−0.49%","1,085.632 USDT","0.67%","−1,312.361 USDT","−0.80%","−12,732.485 USDT","−1.27%"
"BNB","21","Short","Apr 01, 2026, 00:00","Apr 01, 2026, 01:30","2026-03-31T15:00:00.000Z","2026-03-31T16:30:00.000Z","L1","Close position order","609.67 USDT","614.74 USDT","267.77","163.25 KUSDT","−1,357.594 USDT","−0.83%","527.507 USDT","0.32%","−1,879.745 USDT","−1.15%","−11,940.268 USDT","−1.19%"
"BNB","20","Short","Mar 23, 2026, 20:00","Mar 23, 2026, 20:00","2026-03-23T11:00:00.000Z","2026-03-23T11:00:00.000Z","L2","Close position order","627.29 USDT","647.22 USDT","263.03","165 KUSDT","−5,242.188 USDT","−3.18%","0 USDT","0.00%","−6,152.271 USDT","−3.73%","−10,582.673 USDT","−1.06%"
"BNB","19","Short","Mar 23, 2026, 19:00","Mar 23, 2026, 20:00","2026-03-23T10:00:00.000Z","2026-03-23T11:00:00.000Z","L1","Close position order","627.68 USDT","647.22 USDT","262.81","164.96 KUSDT","−5,135.308 USDT","−3.11%","801.571 USDT","0.49%","−6,044.63 USDT","−3.66%","−5,340.485 USDT","−0.53%"
