symbol,trade_no,side,entry_time,exit_time,entry_time_utc,exit_time_utc,entry_signal,exit_signal,entry_price,exit_price,size,notional,net_pnl,net_pnl_pct,favorable,favorable_pct,adverse,adverse_pct,cumulative_pnl,cumulative_pnl_pct
"BTC","64","Long","Apr 24, 2026, 23:45","Apr 25, 2026, 02:30","2026-04-24T14:45:00.000Z","2026-04-24T17:30:00.000Z","L2","HARD_SL","77,986.4 USDT","77,441.8 USDT","2.07","161.68 KUSDT","−1,129.024 USDT","−0.70%","440.746 USDT","0.27%","−1,129.024 USDT","−0.70%","−20,443.35 USDT","−2.04%"
"BTC","63","Long","Apr 24, 2026, 23:45","Apr 25, 2026, 02:30","2026-04-24T14:45:00.000Z","2026-04-24T17:30:00.000Z","L1","HARD_SL","77,906.2 USDT","77,441.8 USDT","2.08","161.97 KUSDT","−965.519 USDT","−0.60%","608.751 USDT","0.38%","−965.519 USDT","−0.60%","−19,314.326 USDT","−1.93%"
"BTC","62","Long","Apr 23, 2026, 09:30","Apr 23, 2026, 11:30","2026-04-23T00:30:00.000Z","2026-04-23T02:30:00.000Z","L2","HARD_SL","78,384.2 USDT","77,824.0 USDT","2.07","162.07 KUSDT","−1,158.267 USDT","−0.71%","126.123 USDT","0.08%","−1,158.267 USDT","−0.71%","−18,348.807 USDT","−1.83%"
"BTC","61","Long","Apr 23, 2026, 09:30","Apr 23, 2026, 11:30","2026-04-23T00:30:00.000Z","2026-04-23T02:30:00.000Z","L1","HARD_SL","78,342.0 USDT","77,824.0 USDT","2.07","162.34 KUSDT","−1,073.401 USDT","−0.66%","213.851 USDT","0.13%","−1,073.401 USDT","−0.66%","−17,190.54 USDT","−1.72%"
"BTC","60","Long","Apr 22, 2026, 06:15","Apr 23, 2026, 09:00","2026-04-21T21:15:00.000Z","2026-04-23T00:00:00.000Z","L1","Close position order","75,537.5 USDT","77,839.0 USDT","2.13","161.04 KUSDT","+4,906.485 USDT","+3.05%","8,328.127 USDT","5.17%","−612.911 USDT","−0.38%","−16,117.139 USDT","−1.61%"
"BTC","59","Long","Apr 22, 2026, 02:15","Apr 22, 2026, 04:30","2026-04-21T17:15:00.000Z","2026-04-21T19:30:00.000Z","L2","Close position order","75,291.2 USDT","74,824.7 USDT","2.14","161.07 KUSDT","−997.986 USDT","−0.62%","1,302.409 USDT","0.81%","−1,098.105 USDT","−0.68%","−21,023.623 USDT","−2.10%"
"BTC","58","Long","Apr 22, 2026, 02:15","Apr 22, 2026, 04:30","2026-04-21T17:15:00.000Z","2026-04-21T19:30:00.000Z","L1","Close position order","75,213.7 USDT","74,824.7 USDT","2.15","161.83 KUSDT","−836.993 USDT","−0.52%","1,476.679 USDT","0.91%","−937.69 USDT","−0.58%","−20,025.637 USDT","−2.00%"
"BTC","57","Long","Apr 19, 2026, 14:00","Apr 19, 2026, 16:00","2026-04-19T05:00:00.000Z","2026-04-19T07:00:00.000Z","L2","HARD_SL","75,506.9 USDT","75,230.1 USDT","2.15","162.01 KUSDT","−593.919 USDT","−0.37%","263.487 USDT","0.16%","−593.919 USDT","−0.37%","−19,188.645 USDT","−1.92%"
"BTC","56","Long","Apr 19, 2026, 14:00","Apr 19, 2026, 16:00","2026-04-19T05:00:00.000Z","2026-04-19T07:00:00.000Z","L1","HARD_SL","75,587.0 USDT","75,230.1 USDT","2.14","162.06 KUSDT","−765.191 USDT","−0.47%","91.549 USDT","0.06%","−765.191 USDT","−0.47%","−18,594.727 USDT","−1.86%"
"BTC","55","Long","Apr 18, 2026, 12:15","Apr 18, 2026, 13:30","2026-04-18T03:15:00.000Z","2026-04-18T04:30:00.000Z","L2","HARD_SL","77,162.8 USDT","76,854.3 USDT","2.1","162.31 KUSDT","−648.936 USDT","−0.40%","5.89 USDT","0.00%","−648.936 USDT","−0.40%","−17,829.535 USDT","−1.78%"
