symbol,trade_no,side,entry_time,exit_time,entry_time_utc,exit_time_utc,entry_signal,exit_signal,entry_price,exit_price,size,notional,net_pnl,net_pnl_pct,favorable,favorable_pct,adverse,adverse_pct,cumulative_pnl,cumulative_pnl_pct
"BTC","31","Long","Apr 25, 2026, 01:30","Apr 25, 2026, 07:30","2026-04-24T16:30:00.000Z","2026-04-24T22:30:00.000Z","L2","Close position order","77,596.9 USDT","77,241.8 USDT","2.14","165.77 KUSDT","−758.586 USDT","−0.46%","594.735 USDT","0.36%","−833.355 USDT","−0.50%","2,943.451 USDT","0.29%"
"BTC","30","Long","Apr 25, 2026, 00:00","Apr 25, 2026, 07:30","2026-04-24T15:00:00.000Z","2026-04-24T22:30:00.000Z","L1","Close position order","77,599.5 USDT","77,241.8 USDT","2.14","165.74 KUSDT","−763.974 USDT","−0.46%","1,280.41 USDT","0.77%","−838.727 USDT","−0.51%","3,702.037 USDT","0.37%"
"BTC","29","Long","Apr 20, 2026, 20:00","Apr 21, 2026, 08:45","2026-04-20T11:00:00.000Z","2026-04-20T23:45:00.000Z","L1","Close position order","74,958.2 USDT","75,790.1 USDT","2.21","165.43 KUSDT","+1,836.014 USDT","+1.11%","3,471.19 USDT","2.10%","−703.375 USDT","−0.43%","4,466.011 USDT","0.45%"
"BTC","28","Long","Apr 16, 2026, 22:30","Apr 16, 2026, 22:45","2026-04-16T13:30:00.000Z","2026-04-16T13:45:00.000Z","L2","Close position order","74,569.9 USDT","73,755.9 USDT","2.23","165.94 KUSDT","−1,811.404 USDT","−1.09%","0 USDT","0.00%","−2,922.057 USDT","−1.76%","2,629.997 USDT","0.26%"
"BTC","27","Long","Apr 16, 2026, 22:30","Apr 16, 2026, 22:45","2026-04-16T13:30:00.000Z","2026-04-16T13:45:00.000Z","L1","Close position order","74,503.7 USDT","73,755.9 USDT","2.23","166.01 KUSDT","−1,666.232 USDT","−1.00%","147.505 USDT","0.09%","−2,778.316 USDT","−1.67%","4,441.401 USDT","0.44%"
"BTC","26","Long","Apr 12, 2026, 00:00","Apr 12, 2026, 10:30","2026-04-11T15:00:00.000Z","2026-04-12T01:30:00.000Z","L2","HARD_SL","72,669.0 USDT","72,057.8 USDT","2.29","166.35 KUSDT","−1,399.161 USDT","−0.84%","2,528.197 USDT","1.52%","−1,399.161 USDT","−0.84%","6,107.634 USDT","0.61%"
"BTC","25","Long","Apr 11, 2026, 23:45","Apr 12, 2026, 10:30","2026-04-11T14:45:00.000Z","2026-04-12T01:30:00.000Z","L1","HARD_SL","72,660.9 USDT","72,057.8 USDT","2.29","166.44 KUSDT","−1,381.448 USDT","−0.83%","2,548.269 USDT","1.53%","−1,381.448 USDT","−0.83%","7,506.795 USDT","0.75%"
"BTC","24","Long","Apr 10, 2026, 16:45","Apr 11, 2026, 13:15","2026-04-10T07:45:00.000Z","2026-04-11T04:15:00.000Z","L2","Close position order","71,461.2 USDT","72,680.0 USDT","2.31","164.74 KUSDT","+2,809.634 USDT","+1.71%","4,584.673 USDT","2.78%","−152.607 USDT","−0.09%","8,888.243 USDT","0.89%"
"BTC","23","Long","Apr 10, 2026, 16:45","Apr 11, 2026, 13:15","2026-04-10T07:45:00.000Z","2026-04-11T04:15:00.000Z","L1","Close position order","71,400.5 USDT","72,680.0 USDT","2.32","165.51 KUSDT","+2,966.009 USDT","+1.79%","4,750.946 USDT","2.87%","−42.653 USDT","−0.03%","6,078.609 USDT","0.61%"
"BTC","22","Short","Apr 06, 2026, 02:00","Apr 06, 2026, 07:00","2026-04-05T17:00:00.000Z","2026-04-05T22:00:00.000Z","L2","HARD_SL","67,253.8 USDT","67,729.8 USDT","2.48","166.66 KUSDT","−1,179.565 USDT","−0.71%","242.852 USDT","0.15%","−1,179.565 USDT","−0.71%","3,112.6 USDT","0.31%"
"BTC","21","Short","Apr 06, 2026, 01:45","Apr 06, 2026, 07:00","2026-04-05T16:45:00.000Z","2026-04-05T22:00:00.000Z","L1","HARD_SL","67,178.8 USDT","67,729.8 USDT","2.48","166.9 KUSDT","−1,368.931 USDT","−0.82%","71.552 USDT","0.04%","−1,368.931 USDT","−0.82%","4,292.166 USDT","0.43%"
"BTC","20","Short","Apr 06, 2026, 00:15","Apr 06, 2026, 00:15","2026-04-05T15:15:00.000Z","2026-04-05T15:15:00.000Z","L2","Close position order","67,381.3 USDT","67,478.2 USDT","2.47","166.13 KUSDT","−238.903 USDT","−0.14%","0 USDT","0.00%","−346.151 USDT","−0.21%","5,661.097 USDT","0.57%"
"BTC","19","Short","Apr 05, 2026, 11:30","Apr 06, 2026, 00:15","2026-04-05T02:30:00.000Z","2026-04-05T15:15:00.000Z","L1","Close position order","67,140.7 USDT","67,478.2 USDT","2.47","166.11 KUSDT","−835.002 USDT","−0.50%","1,398.35 USDT","0.84%","−942.624 USDT","−0.57%","5,900 USDT","0.59%"
"BTC","18","Short","Apr 04, 2026, 18:00","Apr 04, 2026, 19:45","2026-04-04T09:00:00.000Z","2026-04-04T10:45:00.000Z","L2","Close position order","66,948.0 USDT","67,139.1 USDT","2.49","166.46 KUSDT","−475.161 USDT","−0.29%","166.841 USDT","0.10%","−503.009 USDT","−0.30%","6,735.002 USDT","0.67%"
