symbol,trade_no,side,entry_time,exit_time,entry_time_utc,exit_time_utc,entry_signal,exit_signal,entry_price,exit_price,size,notional,net_pnl,net_pnl_pct,favorable,favorable_pct,adverse,adverse_pct,cumulative_pnl,cumulative_pnl_pct
"ETH","69","Long","Apr 25, 2026, 06:30","Apr 26, 2026, 00:45","2026-04-24T21:30:00.000Z","2026-04-25T15:45:00.000Z","L2","HARD_SL","2,313.75 USDT","2,300.81 USDT","71.98","166.54 KUSDT","??31.413 USDT","??.56%","609.666 USDT","0.37%","??31.413 USDT","??.56%","9,635.099 USDT","0.96%"
"ETH","68","Long","Apr 25, 2026, 06:30","Apr 26, 2026, 00:45","2026-04-24T21:30:00.000Z","2026-04-25T15:45:00.000Z","L1","HARD_SL","2,314.92 USDT","2,300.81 USDT","72.1","166.91 KUSDT","??,017.361 USDT","??.61%","526.345 USDT","0.32%","??,017.361 USDT","??.61%","10,566.512 USDT","1.06%"
"ETH","67","Long","Apr 25, 2026, 06:00","Apr 25, 2026, 06:00","2026-04-24T21:00:00.000Z","2026-04-24T21:00:00.000Z","L2","Close position order","2,314.11 USDT","2,314.01 USDT","72.14","166.93 KUSDT","??.214 USDT","0.00%","0 USDT","0.00%","??4.626 USDT","??.02%","11,583.873 USDT","1.16%"
"ETH","66","Long","Apr 25, 2026, 05:15","Apr 25, 2026, 06:00","2026-04-24T20:15:00.000Z","2026-04-24T21:00:00.000Z","L1","Close position order","2,315.53 USDT","2,314.01 USDT","72.09","166.93 KUSDT","??09.579 USDT","??.07%","834.82 USDT","0.50%","??48.508 USDT","??.09%","11,591.086 USDT","1.16%"
"ETH","65","Long","Apr 23, 2026, 16:45","Apr 23, 2026, 18:00","2026-04-23T07:45:00.000Z","2026-04-23T09:00:00.000Z","L2","HARD_SL","2,342.81 USDT","2,330.82 USDT","71.27","166.98 KUSDT","??54.548 USDT","??.51%","64.857 USDT","0.04%","??54.548 USDT","??.51%","11,700.665 USDT","1.17%"
"ETH","64","Long","Apr 23, 2026, 16:45","Apr 23, 2026, 18:00","2026-04-23T07:45:00.000Z","2026-04-23T09:00:00.000Z","L1","HARD_SL","2,349.88 USDT","2,330.82 USDT","71.19","167.3 KUSDT","??,356.94 USDT","??.81%","0 USDT","0.00%","??,356.94 USDT","??.81%","12,555.213 USDT","1.26%"
"ETH","63","Long","Apr 23, 2026, 04:45","Apr 23, 2026, 08:15","2026-04-22T19:45:00.000Z","2026-04-22T23:15:00.000Z","L2","Close position order","2,394.02 USDT","2,385.23 USDT","69.97","167.51 KUSDT","??15.03 USDT","??.37%","782.257 USDT","0.47%","??,021.552 USDT","??.61%","13,912.153 USDT","1.39%"
"ETH","62","Long","Apr 23, 2026, 04:30","Apr 23, 2026, 08:15","2026-04-22T19:30:00.000Z","2026-04-22T23:15:00.000Z","L1","Close position order","2,403.64 USDT","2,385.23 USDT","69.73","167.61 KUSDT","??,283.746 USDT","??.77%","108.78 USDT","0.06%","??,688.882 USDT","??.01%","14,527.184 USDT","1.45%"
"ETH","61","Long","Apr 21, 2026, 20:30","Apr 21, 2026, 21:30","2026-04-21T11:30:00.000Z","2026-04-21T12:30:00.000Z","L2","HARD_SL","2,321.40 USDT","2,306.08 USDT","72.33","167.9 KUSDT","??,108.04 USDT","??.66%","156.948 USDT","0.09%","??,108.04 USDT","??.66%","15,810.93 USDT","1.58%"
"ETH","60","Long","Apr 21, 2026, 20:30","Apr 21, 2026, 21:30","2026-04-21T11:30:00.000Z","2026-04-21T12:30:00.000Z","L1","HARD_SL","2,322.61 USDT","2,306.08 USDT","72.33","167.99 KUSDT","??,195.57 USDT","??.71%","69.434 USDT","0.04%","??,195.57 USDT","??.71%","16,918.97 USDT","1.69%"
"ETH","59","Long","Apr 20, 2026, 17:45","Apr 21, 2026, 20:00","2026-04-20T08:45:00.000Z","2026-04-21T11:00:00.000Z","L2","Close position order","2,288.73 USDT","2,316.74 USDT","73.16","167.43 KUSDT","+2,049.08 USDT","+1.22%","4,251.055 USDT","2.54%","??79.327 USDT","??.53%","18,114.541 USDT","1.81%"
"ETH","58","Long","Apr 20, 2026, 17:00","Apr 21, 2026, 20:00","2026-04-20T08:00:00.000Z","2026-04-21T11:00:00.000Z","L1","Close position order","2,298.25 USDT","2,316.74 USDT","71.59","164.53 KUSDT","+1,323.67 USDT","+0.80%","3,478.481 USDT","2.11%","??,542.014 USDT","??.94%","16,065.46 USDT","1.61%"
