symbol,trade_no,side,entry_time,exit_time,entry_time_utc,exit_time_utc,entry_signal,exit_signal,entry_price,exit_price,size,notional,net_pnl,net_pnl_pct,favorable,favorable_pct,adverse,adverse_pct,cumulative_pnl,cumulative_pnl_pct
"ETH","32","Long","Apr 24, 2026, 23:00","Apr 25, 2026, 06:00","2026-04-24T14:00:00.000Z","2026-04-24T21:00:00.000Z","L2","Close position order","2,312.86 USDT","2,314.01 USDT","73.1","169.06 KUSDT","+84.059 USDT","+0.05%","1,164.407 USDT","0.69%","−940.004 USDT","−0.56%","24,564.72 USDT","2.46%"
"ETH","31","Long","Apr 24, 2026, 22:45","Apr 25, 2026, 06:00","2026-04-24T13:45:00.000Z","2026-04-24T21:00:00.000Z","L1","Close position order","2,314.12 USDT","2,314.01 USDT","73.05","169.04 KUSDT","−8.035 USDT","0.00%","1,071.601 USDT","0.63%","−1,031.425 USDT","−0.61%","24,480.66 USDT","2.45%"
"ETH","30","Long","Apr 22, 2026, 08:45","Apr 22, 2026, 23:30","2026-04-21T23:45:00.000Z","2026-04-22T14:30:00.000Z","L1","Close position order","2,326.13 USDT","2,394.91 USDT","72.05","167.59 KUSDT","+4,955.406 USDT","+2.96%","6,979.212 USDT","4.16%","−1,060.535 USDT","−0.63%","24,488.695 USDT","2.45%"
"ETH","29","Long","Apr 20, 2026, 23:45","Apr 21, 2026, 20:00","2026-04-20T14:45:00.000Z","2026-04-21T11:00:00.000Z","L2","Close position order","2,288.73 USDT","2,316.74 USDT","73.31","167.78 KUSDT","+2,053.315 USDT","+1.22%","4,259.841 USDT","2.54%","−881.144 USDT","−0.53%","19,533.29 USDT","1.95%"
"ETH","28","Long","Apr 20, 2026, 20:00","Apr 21, 2026, 20:00","2026-04-20T11:00:00.000Z","2026-04-21T11:00:00.000Z","L1","Close position order","2,300.90 USDT","2,316.74 USDT","72.88","167.69 KUSDT","+1,154.445 USDT","+0.69%","3,348.181 USDT","2.00%","−1,763.006 USDT","−1.05%","17,479.975 USDT","1.75%"
"ETH","27","Long","Apr 16, 2026, 16:45","Apr 16, 2026, 22:45","2026-04-16T07:45:00.000Z","2026-04-16T13:45:00.000Z","L2","HARD_SL","2,340.40 USDT","2,303.57 USDT","71.58","167.53 KUSDT","−2,636.295 USDT","−1.57%","830.329 USDT","0.50%","−2,636.295 USDT","−1.57%","16,325.53 USDT","1.63%"
"ETH","26","Long","Apr 16, 2026, 16:45","Apr 16, 2026, 22:45","2026-04-16T07:45:00.000Z","2026-04-16T13:45:00.000Z","L1","HARD_SL","2,337.22 USDT","2,303.57 USDT","72.11","168.53 KUSDT","−2,426.384 USDT","−1.44%","1,065.734 USDT","0.63%","−2,426.384 USDT","−1.44%","18,961.826 USDT","1.90%"
"ETH","25","Long","Apr 13, 2026, 16:45","Apr 14, 2026, 23:30","2026-04-13T07:45:00.000Z","2026-04-14T14:30:00.000Z","L2","Close position order","2,185.50 USDT","2,370.07 USDT","74.83","163.54 KUSDT","+13,811.632 USDT","+8.45%","17,278.57 USDT","10.57%","−824.642 USDT","−0.50%","21,388.209 USDT","2.14%"
"ETH","24","Long","Apr 13, 2026, 16:30","Apr 14, 2026, 23:30","2026-04-13T07:30:00.000Z","2026-04-14T14:30:00.000Z","L1","Close position order","2,185.42 USDT","2,370.07 USDT","74.63","163.1 KUSDT","+13,780.614 USDT","+8.45%","17,238.268 USDT","10.57%","−816.463 USDT","−0.50%","7,576.578 USDT","0.76%"
"ETH","23","Long","Apr 10, 2026, 10:15","Apr 11, 2026, 12:45","2026-04-10T01:15:00.000Z","2026-04-11T03:45:00.000Z","L2","Close position order","2,173.95 USDT","2,235.94 USDT","74.88","162.79 KUSDT","+4,642.084 USDT","+2.85%","6,260.336 USDT","3.85%","−10.484 USDT","−0.01%","−6,204.037 USDT","−0.62%"
