symbol,trade_no,side,entry_time,exit_time,entry_time_utc,exit_time_utc,entry_signal,exit_signal,entry_price,exit_price,size,notional,net_pnl,net_pnl_pct,favorable,favorable_pct,adverse,adverse_pct,cumulative_pnl,cumulative_pnl_pct
"SOL","27","Long","Apr 24, 2026, 18:00","Apr 25, 2026, 12:15","2026-04-24T09:00:00.000Z","2026-04-25T03:15:00.000Z","L2","Open","85.14 USDT","86.26 USDT","2.01 K","171.36 KUSDT","+2,254.239 USDT","+1.32%","3,582.629 USDT","2.09%","−704.449 USDT","−0.41%","40,905.023 USDT","4.09%"
"SOL","26","Long","Apr 24, 2026, 14:45","Apr 25, 2026, 12:15","2026-04-24T05:45:00.000Z","2026-04-25T03:15:00.000Z","L1","Open","85.64 USDT","86.26 USDT","2 K","170.86 KUSDT","+1,236.958 USDT","+0.72%","2,553.719 USDT","1.49%","−1,695.829 USDT","−0.99%","39,887.742 USDT","3.99%"
"SOL","25","Long","Apr 23, 2026, 12:30","Apr 23, 2026, 12:45","2026-04-23T03:30:00.000Z","2026-04-23T03:45:00.000Z","L2","Close position order","85.66 USDT","85.72 USDT","1.96 K","168.14 KUSDT","+117.774 USDT","+0.07%","176.661 USDT","0.11%","−314.064 USDT","−0.19%","38,650.78 USDT","3.87%"
"SOL","24","Long","Apr 23, 2026, 12:30","Apr 23, 2026, 12:45","2026-04-23T03:30:00.000Z","2026-04-23T03:45:00.000Z","L1","Close position order","85.60 USDT","85.72 USDT","2 K","171.31 KUSDT","+240.156 USDT","+0.14%","300.195 USDT","0.18%","−360.234 USDT","−0.21%","38,533.008 USDT","3.85%"
"SOL","23","Long","Apr 20, 2026, 23:45","Apr 21, 2026, 21:30","2026-04-20T14:45:00.000Z","2026-04-21T12:30:00.000Z","L2","Close position order","84.47 USDT","85.26 USDT","2.02 K","170.93 KUSDT","+1,598.638 USDT","+0.94%","4,047.184 USDT","2.37%","−242.831 USDT","−0.14%","38,292.85 USDT","3.83%"
"SOL","22","Long","Apr 20, 2026, 19:30","Apr 21, 2026, 21:30","2026-04-20T10:30:00.000Z","2026-04-21T12:30:00.000Z","L1","Close position order","84.96 USDT","85.26 USDT","2.01 K","170.95 KUSDT","+603.634 USDT","+0.35%","3,038.292 USDT","1.78%","−1,227.389 USDT","−0.72%","36,694.215 USDT","3.67%"
"SOL","21","Long","Apr 18, 2026, 08:15","Apr 18, 2026, 12:45","2026-04-17T23:15:00.000Z","2026-04-18T03:45:00.000Z","L2","Close position order","88.57 USDT","88.27 USDT","1.93 K","171.28 KUSDT","−580.161 USDT","−0.34%","1,044.29 USDT","0.61%","−773.548 USDT","−0.45%","36,090.582 USDT","3.61%"
"SOL","20","Long","Apr 18, 2026, 07:00","Apr 18, 2026, 12:45","2026-04-17T22:00:00.000Z","2026-04-18T03:45:00.000Z","L1","Close position order","89.03 USDT","88.27 USDT","1.92 K","171.29 KUSDT","−1,462.2 USDT","−0.85%","769.579 USDT","0.45%","−1,654.594 USDT","−0.97%","36,670.742 USDT","3.67%"
"SOL","19","Long","Apr 13, 2026, 17:15","Apr 14, 2026, 23:30","2026-04-13T08:15:00.000Z","2026-04-14T14:30:00.000Z","L2","Close position order","81.83 USDT","86.41 USDT","2.06 K","168.29 KUSDT","+9,418.921 USDT","+5.60%","11,948.457 USDT","7.10%","−452.437 USDT","−0.27%","38,132.94 USDT","3.81%"
"SOL","18","Long","Apr 13, 2026, 16:30","Apr 14, 2026, 23:30","2026-04-13T07:30:00.000Z","2026-04-14T14:30:00.000Z","L1","Close position order","82.03 USDT","86.41 USDT","2.05 K","167.88 KUSDT","+8,964.077 USDT","+5.34%","11,481.387 USDT","6.84%","−859.569 USDT","−0.51%","28,714.021 USDT","2.87%"
"SOL","17","Long","Apr 12, 2026, 10:30","Apr 12, 2026, 10:30","2026-04-12T01:30:00.000Z","2026-04-12T01:30:00.000Z","L2","Close position order","83.51 USDT","82.79 USDT","2.02 K","169 KUSDT","−1,457.06 USDT","−0.86%","0 USDT","0.00%","−2,003.457 USDT","−1.19%","19,749.943 USDT","1.97%"
"SOL","16","Long","Apr 11, 2026, 17:00","Apr 12, 2026, 10:30","2026-04-11T08:00:00.000Z","2026-04-12T01:30:00.000Z","L1","Close position order","84.18 USDT","82.79 USDT","2.01 K","168.95 KUSDT","−2,789.672 USDT","−1.65%","4,114.264 USDT","2.44%","−3,331.55 USDT","−1.97%","21,207.004 USDT","2.12%"
"SOL","15","Long","Apr 10, 2026, 01:30","Apr 11, 2026, 12:45","2026-04-09T16:30:00.000Z","2026-04-11T03:45:00.000Z","L1","Close position order","83.23 USDT","84.35 USDT","2.03 K","168.58 KUSDT","+2,268.591 USDT","+1.35%","5,468.926 USDT","3.24%","−1,215.317 USDT","−0.72%","23,996.676 USDT","2.40%"
"SOL","14","Short","Apr 04, 2026, 23:45","Apr 04, 2026, 23:45","2026-04-04T14:45:00.000Z","2026-04-04T14:45:00.000Z","L2","Close position order","80.26 USDT","80.32 USDT","2.1 K","168.73 KUSDT","−126.138 USDT","−0.07%","0 USDT","0.00%","−189.208 USDT","−0.11%","21,728.084 USDT","2.17%"
"SOL","13","Short","Apr 04, 2026, 23:00","Apr 04, 2026, 23:45","2026-04-04T14:00:00.000Z","2026-04-04T14:45:00.000Z","L1","Close position order","79.99 USDT","80.32 USDT","2.11 K","168.73 KUSDT","−696.104 USDT","−0.41%","970.326 USDT","0.58%","−759.386 USDT","−0.45%","21,854.223 USDT","2.19%"
"SOL","12","Short","Apr 03, 2026, 11:15","Apr 03, 2026, 21:30","2026-04-03T02:15:00.000Z","2026-04-03T12:30:00.000Z","L2","HARD_SL","79.06 USDT","80.80 USDT","2.15 K","169.99 KUSDT","−3,741.244 USDT","−2.20%","559.036 USDT","0.33%","−3,741.244 USDT","−2.20%","22,550.326 USDT","2.26%"
"SOL","11","Short","Apr 03, 2026, 11:15","Apr 03, 2026, 21:30","2026-04-03T02:15:00.000Z","2026-04-03T12:30:00.000Z","L1","HARD_SL","79.14 USDT","80.80 USDT","2.15 K","169.94 KUSDT","−3,564.618 USDT","−2.10%","730.102 USDT","0.43%","−3,564.618 USDT","−2.10%","26,291.568 USDT","2.63%"
"SOL","10","Short","Mar 25, 2026, 08:45","Mar 25, 2026, 12:45","2026-03-24T23:45:00.000Z","2026-03-25T03:45:00.000Z","L2","Close position order","90.75 USDT","91.66 USDT","1.88 K","170.54 KUSDT","−1,710.056 USDT","−1.00%","150.335 USDT","0.09%","−2,161.06 USDT","−1.27%","29,856.188 USDT","2.99%"
"SOL","9","Short","Mar 25, 2026, 08:30","Mar 25, 2026, 12:45","2026-03-24T23:30:00.000Z","2026-03-25T03:45:00.000Z","L1","Close position order","90.91 USDT","91.66 USDT","1.92 K","174.71 KUSDT","−1,441.354 USDT","−0.82%","461.233 USDT","0.26%","−1,902.588 USDT","−1.09%","31,566.244 USDT","3.16%"
"SOL","8","Short","Mar 23, 2026, 20:00","Mar 23, 2026, 20:45","2026-03-23T11:00:00.000Z","2026-03-23T11:45:00.000Z","L2","HARD_SL_PRIORITY","90.71 USDT","88.74 USDT","1.96 K","177.56 KUSDT","+3,856.08 USDT","+2.17%","3,993.098 USDT","2.25%","−1,507.199 USDT","−0.85%","33,007.598 USDT","3.30%"
"SOL","7","Short","Mar 23, 2026, 20:00","Mar 23, 2026, 20:45","2026-03-23T11:00:00.000Z","2026-03-23T11:45:00.000Z","L1","HARD_SL_PRIORITY","88.45 USDT","88.74 USDT","1.92 K","169.92 KUSDT","−557.11 USDT","−0.33%","0 USDT","0.00%","−6,685.32 USDT","−3.93%","29,151.518 USDT","2.92%"
"SOL","6","Long","Mar 13, 2026, 03:45","Mar 13, 2026, 23:45","2026-03-12T18:45:00.000Z","2026-03-13T14:45:00.000Z","L2","Close position order","85.78 USDT","90.67 USDT","1.95 K","167.08 KUSDT","+9,524.331 USDT","+5.70%","14,802.642 USDT","8.86%","−331.112 USDT","−0.20%","29,708.629 USDT","2.97%"
"SOL","5","Long","Mar 13, 2026, 01:15","Mar 13, 2026, 23:45","2026-03-12T16:15:00.000Z","2026-03-13T14:45:00.000Z","L1","Close position order","86.14 USDT","90.67 USDT","1.93 K","166.52 KUSDT","+8,757.02 USDT","+5.26%","13,995.767 USDT","8.40%","−1,024.552 USDT","−0.62%","20,184.297 USDT","2.02%"
"SOL","4","Short","Mar 09, 2026, 09:30","Mar 09, 2026, 12:00","2026-03-09T00:30:00.000Z","2026-03-09T03:00:00.000Z","L2","Close position order","82.60 USDT","84.19 USDT","2.04 K","168.6 KUSDT","−3,245.479 USDT","−1.92%","2,041.182 USDT","1.21%","−3,510.833 USDT","−2.08%","11,427.276 USDT","1.14%"
"SOL","3","Short","Mar 09, 2026, 09:30","Mar 09, 2026, 12:00","2026-03-09T00:30:00.000Z","2026-03-09T03:00:00.000Z","L1","Close position order","83.24 USDT","84.19 USDT","2.02 K","167.75 KUSDT","−1,914.467 USDT","−1.14%","3,304.974 USDT","1.97%","−2,176.446 USDT","−1.30%","14,672.756 USDT","1.47%"
"SOL","2","Long","Mar 04, 2026, 12:45","Mar 04, 2026, 23:30","2026-03-04T03:45:00.000Z","2026-03-04T14:30:00.000Z","L2","Close position order","85.34 USDT","89.64 USDT","1.93 K","165.01 KUSDT","+8,314.304 USDT","+5.04%","12,336.106 USDT","7.48%","−1,140.8 USDT","−0.69%","16,587.223 USDT","1.66%"
"SOL","1","Long","Mar 04, 2026, 12:30","Mar 04, 2026, 23:30","2026-03-04T03:30:00.000Z","2026-03-04T14:30:00.000Z","L1","Close position order","85.36 USDT","89.64 USDT","1.93 K","164.99 KUSDT","+8,272.919 USDT","+5.01%","12,293.403 USDT","7.45%","−1,179.084 USDT","−0.71%","8,272.919 USDT","0.83%"
