symbol,trade_no,side,entry_time,exit_time,entry_time_utc,exit_time_utc,entry_signal,exit_signal,entry_price,exit_price,size,notional,net_pnl,net_pnl_pct,favorable,favorable_pct,adverse,adverse_pct,cumulative_pnl,cumulative_pnl_pct
"XRP","58","Long","Apr 25, 2026, 18:15","Apr 25, 2026, 20:45","2026-04-25T09:15:00.000Z","2026-04-25T11:45:00.000Z","L2","HARD_SL","1.4323 USDT","1.4293 USDT","114.12 K","163.46 KUSDT","??42.371 USDT","??.21%","433.67 USDT","0.27%","??42.371 USDT","??.21%","??0,138.632 USDT","??.01%"
"XRP","57","Long","Apr 25, 2026, 17:45","Apr 25, 2026, 20:45","2026-04-25T08:45:00.000Z","2026-04-25T11:45:00.000Z","L1","HARD_SL","1.4336 USDT","1.4293 USDT","114.02 K","163.45 KUSDT","??90.269 USDT","??.30%","285.04 USDT","0.17%","??90.269 USDT","??.30%","??,796.261 USDT","??.98%"
"XRP","56","Long","Apr 25, 2026, 13:30","Apr 25, 2026, 16:45","2026-04-25T04:30:00.000Z","2026-04-25T07:45:00.000Z","L2","Close position order","1.4330 USDT","1.4325 USDT","114.03 K","163.4 KUSDT","??7.014 USDT","??.03%","125.43 USDT","0.08%","??30.679 USDT","??.20%","??,305.991 USDT","??.93%"
"XRP","55","Long","Apr 25, 2026, 13:30","Apr 25, 2026, 16:45","2026-04-25T04:30:00.000Z","2026-04-25T07:45:00.000Z","L1","Close position order","1.4334 USDT","1.4325 USDT","114.05 K","163.48 KUSDT","??02.646 USDT","??.06%","79.836 USDT","0.05%","??76.37 USDT","??.23%","??,248.978 USDT","??.92%"
"XRP","54","Long","Apr 24, 2026, 12:15","Apr 25, 2026, 08:45","2026-04-24T03:15:00.000Z","2026-04-24T23:45:00.000Z","L2","Close position order","1.4306 USDT","1.4325 USDT","113.75 K","162.73 KUSDT","+216.126 USDT","+0.13%","2,240.885 USDT","1.38%","??53.129 USDT","??.52%","??,146.331 USDT","??.91%"
"XRP","53","Long","Apr 24, 2026, 12:15","Apr 25, 2026, 08:45","2026-04-24T03:15:00.000Z","2026-04-24T23:45:00.000Z","L1","Close position order","1.4332 USDT","1.4325 USDT","114.06 K","163.47 KUSDT","??9.841 USDT","??.05%","1,950.392 USDT","1.19%","??,151.986 USDT","??.70%","??,362.457 USDT","??.94%"
"XRP","52","Long","Apr 23, 2026, 00:00","Apr 23, 2026, 04:00","2026-04-22T15:00:00.000Z","2026-04-22T19:00:00.000Z","L2","HARD_SL","1.4534 USDT","1.4444 USDT","112.57 K","163.61 KUSDT","??,013.105 USDT","??.62%","731.687 USDT","0.45%","??,013.105 USDT","??.62%","??,282.616 USDT","??.93%"
"XRP","51","Long","Apr 23, 2026, 00:00","Apr 23, 2026, 04:00","2026-04-22T15:00:00.000Z","2026-04-22T19:00:00.000Z","L1","HARD_SL","1.4545 USDT","1.4444 USDT","112.63 K","163.81 KUSDT","??,137.514 USDT","??.69%","608.176 USDT","0.37%","??,137.514 USDT","??.69%","??,269.512 USDT","??.83%"
"XRP","50","Long","Apr 21, 2026, 00:15","Apr 21, 2026, 21:30","2026-04-20T15:15:00.000Z","2026-04-21T12:30:00.000Z","L1","Close position order","1.4337 USDT","1.4280 USDT","114.22 K","163.76 KUSDT","??51.059 USDT","??.40%","1,724.736 USDT","1.05%","??,736.158 USDT","??.06%","??,131.998 USDT","??.71%"
"XRP","49","Long","Apr 20, 2026, 18:15","Apr 20, 2026, 23:45","2026-04-20T09:15:00.000Z","2026-04-20T14:45:00.000Z","L2","Close position order","1.4150 USDT","1.4157 USDT","115.76 K","163.8 KUSDT","+81.029 USDT","+0.05%","1,863.675 USDT","1.14%","??28.298 USDT","??.26%","??,480.938 USDT","??.65%"
