symbol,trade_no,side,entry_time,exit_time,entry_time_utc,exit_time_utc,entry_signal,exit_signal,entry_price,exit_price,size,notional,net_pnl,net_pnl_pct,favorable,favorable_pct,adverse,adverse_pct,cumulative_pnl,cumulative_pnl_pct
"XRP","28","Long","Apr 24, 2026, 03:00","Apr 25, 2026, 08:45","2026-04-23T18:00:00.000Z","2026-04-24T23:45:00.000Z","L1","Close position order","1.4335 USDT","1.4325 USDT","112.67 K","161.51 KUSDT","−112.668 USDT","−0.07%","1,892.821 USDT","1.17%","−1,171.746 USDT","−0.73%","−21,203.65 USDT","−2.12%"
"XRP","27","Long","Apr 22, 2026, 02:15","Apr 22, 2026, 04:30","2026-04-21T17:15:00.000Z","2026-04-21T19:30:00.000Z","L2","Close position order","1.4191 USDT","1.4118 USDT","112.93 K","160.26 KUSDT","−824.406 USDT","−0.51%","1,366.482 USDT","0.85%","−959.925 USDT","−0.60%","−21,090.982 USDT","−2.11%"
"XRP","26","Long","Apr 22, 2026, 02:15","Apr 22, 2026, 04:30","2026-04-21T17:15:00.000Z","2026-04-21T19:30:00.000Z","L1","Close position order","1.4156 USDT","1.4118 USDT","114.24 K","161.72 KUSDT","−434.126 USDT","−0.27%","1,782.2 USDT","1.10%","−571.218 USDT","−0.35%","−20,266.576 USDT","−2.03%"
"XRP","25","Long","Apr 20, 2026, 22:30","Apr 20, 2026, 23:45","2026-04-20T13:30:00.000Z","2026-04-20T14:45:00.000Z","L1","Close position order","1.4177 USDT","1.4157 USDT","114.1 K","161.76 KUSDT","−228.205 USDT","−0.14%","1,528.976 USDT","0.95%","−502.052 USDT","−0.31%","−19,832.451 USDT","−1.98%"
"XRP","24","Short","Apr 13, 2026, 21:45","Apr 13, 2026, 21:45","2026-04-13T12:45:00.000Z","2026-04-13T12:45:00.000Z","L2","Close position order","1.3297 USDT","1.3313 USDT","121.75 K","161.89 KUSDT","−194.799 USDT","−0.12%","0 USDT","0.00%","−413.949 USDT","−0.26%","−19,604.244 USDT","−1.96%"
"XRP","23","Short","Apr 13, 2026, 18:00","Apr 13, 2026, 21:45","2026-04-13T09:00:00.000Z","2026-04-13T12:45:00.000Z","L1","Close position order","1.3281 USDT","1.3313 USDT","121.88 K","161.87 KUSDT","−390.008 USDT","−0.24%","670.326 USDT","0.41%","−609.387 USDT","−0.38%","−19,409.445 USDT","−1.94%"
"XRP","22","Long","Apr 12, 2026, 10:30","Apr 12, 2026, 10:30","2026-04-12T01:30:00.000Z","2026-04-12T01:30:00.000Z","L2","Close position order","1.3441 USDT","1.3325 USDT","120.9 K","162.5 KUSDT","−1,402.456 USDT","−0.86%","0 USDT","0.00%","−1,644.259 USDT","−1.01%","−19,019.438 USDT","−1.90%"
"XRP","21","Long","Apr 12, 2026, 02:15","Apr 12, 2026, 10:30","2026-04-11T17:15:00.000Z","2026-04-12T01:30:00.000Z","L1","Close position order","1.3517 USDT","1.3325 USDT","120.14 K","162.39 KUSDT","−2,306.596 USDT","−1.42%","2,787.137 USDT","1.72%","−2,546.866 USDT","−1.57%","−17,616.982 USDT","−1.76%"
"XRP","20","Long","Apr 02, 2026, 05:00","Apr 02, 2026, 10:00","2026-04-01T20:00:00.000Z","2026-04-02T01:00:00.000Z","L2","Close position order","1.3465 USDT","1.3472 USDT","120.05 K","161.64 KUSDT","+84.033 USDT","+0.05%","1,188.465 USDT","0.74%","−1,092.428 USDT","−0.68%","−15,310.386 USDT","−1.53%"
"XRP","19","Long","Apr 02, 2026, 04:45","Apr 02, 2026, 10:00","2026-04-01T19:45:00.000Z","2026-04-02T01:00:00.000Z","L1","Close position order","1.3499 USDT","1.3472 USDT","115.26 K","155.59 KUSDT","−311.209 USDT","−0.20%","749.208 USDT","0.48%","−1,440.784 USDT","−0.93%","−15,394.419 USDT","−1.54%"
